Territorio;Año;Mes;Año_mes;Precio medio;Nombre del Producto;Indicador
Canarias;2020;diciembre;2020-12;1.98;Coles;Precio medio en destino
Canarias;2020;diciembre;2020-12;1.21;Coles;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.55;Coles;Precio medio en origen
Canarias;2020;diciembre;2020-12;2.74;Coliflores;Precio medio en destino
Canarias;2020;diciembre;2020-12;1.57;Coliflores;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.79;Coliflores;Precio medio en origen
Canarias;2020;diciembre;2020-12;10.42;Fresas;Precio medio en destino
Canarias;2020;diciembre;2020-12;10.23;Fresas;Precio medio en merca
Canarias;2020;diciembre;2020-12;4.36;Fresas;Precio medio en origen
Canarias;2020;diciembre;2020-12;4.94;Judías verdes;Precio medio en destino
Canarias;2020;diciembre;2020-12;2.38;Judías verdes;Precio medio en merca
Canarias;2020;diciembre;2020-12;2.00;Judías verdes;Precio medio en origen
Canarias;2020;diciembre;2020-12;2.61;Lechugas;Precio medio en destino
Canarias;2020;diciembre;2020-12;1.10;Lechugas;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.56;Lechugas;Precio medio en origen
Canarias;2020;diciembre;2020-12;1.72;Limones;Precio medio en destino
Canarias;2020;diciembre;2020-12;0.95;Limones;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.50;Limones;Precio medio en origen
Canarias;2020;diciembre;2020-12;2.11;Mandarinas;Precio medio en destino
Canarias;2020;diciembre;2020-12;1.25;Mandarinas;Precio medio en merca
Canarias;2020;diciembre;2020-12;5.85;Mangos;Precio medio en destino
Canarias;2020;diciembre;2020-12;4.50;Mangos;Precio medio en merca
Canarias;2020;diciembre;2020-12;2.20;Mangos;Precio medio en origen
Canarias;2020;diciembre;2020-12;2.42;Melones;Precio medio en destino
Canarias;2020;diciembre;2020-12;0.15;Melones;Precio medio en origen
Canarias;2020;diciembre;2020-12;1.41;Naranjas;Precio medio en destino
Canarias;2020;diciembre;2020-12;0.93;Naranjas;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.54;Naranjas;Precio medio en origen
Canarias;2020;diciembre;2020-12;1.77;Papas;Precio medio en destino
Canarias;2020;diciembre;2020-12;1.65;Papas;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.71;Papas;Precio medio en origen
Canarias;2020;diciembre;2020-12;2.06;Papayas;Precio medio en destino
Canarias;2020;diciembre;2020-12;1.77;Papayas;Precio medio en merca
Canarias;2020;diciembre;2020-12;1.07;Papayas;Precio medio en origen
Canarias;2020;diciembre;2020-12;1.89;Pepinos;Precio medio en destino
Canarias;2020;diciembre;2020-12;0.98;Pepinos;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.28;Pepinos;Precio medio en origen
Canarias;2020;diciembre;2020-12;2.03;Pimientos (Capsicum);Precio medio en destino
Canarias;2020;diciembre;2020-12;1.23;Pimientos (Capsicum);Precio medio en merca
Canarias;2020;diciembre;2020-12;0.78;Pimientos (Capsicum);Precio medio en origen
Canarias;2020;diciembre;2020-12;4.13;Pinas de millo;Precio medio en destino
Canarias;2020;diciembre;2020-12;3.71;Pinas de millo;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.71;Pinas de millo;Precio medio en origen
Canarias;2020;diciembre;2020-12;4.13;Piñas tropicales;Precio medio en destino
Canarias;2020;diciembre;2020-12;3.63;Piñas tropicales;Precio medio en merca
Canarias;2020;diciembre;2020-12;2.09;Piñas tropicales;Precio medio en origen
Canarias;2020;diciembre;2020-12;1.65;Plátanos;Precio medio en destino
Canarias;2020;diciembre;2020-12;1.13;Plátanos;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.41;Plátanos;Precio medio en origen
Canarias;2020;diciembre;2020-12;2.46;Puerros;Precio medio en destino
Canarias;2020;diciembre;2020-12;1.59;Puerros;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.96;Puerros;Precio medio en origen
Canarias;2020;diciembre;2020-12;1.54;Sandías;Precio medio en destino
Canarias;2020;diciembre;2020-12;0.95;Sandías;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.22;Sandías;Precio medio en origen
Canarias;2020;diciembre;2020-12;1.67;Tomates;Precio medio en destino
Canarias;2020;diciembre;2020-12;1.21;Tomates;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.42;Tomates;Precio medio en origen
Canarias;2020;diciembre;2020-12;1.92;Zanahorias;Precio medio en destino
Canarias;2020;diciembre;2020-12;1.32;Zanahorias;Precio medio en merca
Canarias;2020;diciembre;2020-12;0.58;Zanahorias;Precio medio en origen
Canarias;2021;enero;2021-01;4.38;Aguacates;Precio medio en destino
Canarias;2021;enero;2021-01;3.12;Aguacates;Precio medio en merca
Canarias;2021;enero;2021-01;2.13;Aguacates;Precio medio en origen
Canarias;2021;enero;2021-01;2.25;Batatas y boniatos;Precio medio en destino
Canarias;2021;enero;2021-01;1.34;Batatas y boniatos;Precio medio en merca
Canarias;2021;enero;2021-01;1.07;Batatas y boniatos;Precio medio en origen
Canarias;2021;enero;2021-01;1.90;Berenjenas;Precio medio en destino
Canarias;2021;enero;2021-01;0.85;Berenjenas;Precio medio en merca
Canarias;2021;enero;2021-01;0.65;Berenjenas;Precio medio en origen
Canarias;2021;enero;2021-01;3.96;Berros;Precio medio en destino
Canarias;2021;enero;2021-01;1.57;Berros;Precio medio en merca
Canarias;2021;enero;2021-01;2.93;Berros;Precio medio en origen
Canarias;2021;enero;2021-01;3.92;Brócoli;Precio medio en destino
Canarias;2021;enero;2021-01;2.35;Brócoli;Precio medio en merca
Canarias;2021;enero;2021-01;1.75;Brócoli;Precio medio en origen
Canarias;2021;enero;2021-01;3.10;Bubangos;Precio medio en destino
